date,Donald Trump,Putin,MeToo,Bitcoin,ISIS,country
2019-08-25,21,0,3,12,3,Norway
2019-08-25,10,1,0,9,2,United Kingdom
2019-08-26,10,2,0,41,1,Germany
2019-08-26,12,3,0,18,1,Norway
2019-08-26,12,0,0,5,0,Canada
2019-08-26,5,0,0,3,0,United States
2019-08-26,11,1,0,13,2,United Kingdom
2019-08-27,9,1,0,12,2,United Kingdom
2019-08-27,7,4,0,37,1,Germany
2019-08-27,10,1,0,6,0,Canada
2019-08-27,5,0,0,3,0,United States
2019-08-27,7,3,1,9,1,Norway
2019-08-28,8,4,0,41,2,Germany
2019-08-28,5,0,0,4,1,United States
2019-08-28,19,3,0,27,6,Norway
2019-08-28,10,1,0,13,2,United Kingdom
2019-08-28,11,1,0,5,0,Canada
2019-08-29,12,5,1,21,6,Norway
2019-08-29,5,3,0,46,1,Germany
2019-08-29,9,1,0,16,2,United Kingdom
2019-08-29,9,0,0,6,0,Canada
2019-08-29,5,0,0,4,0,United States
2019-08-30,6,4,0,40,2,Germany
2019-08-30,14,6,0,20,0,Norway
2019-08-30,12,1,0,6,1,Canada
2019-08-30,8,1,0,13,1,United Kingdom
2019-08-30,5,0,0,3,0,United States
2019-08-31,5,0,0,3,1,United States
2019-08-31,9,1,0,10,1,United Kingdom
2019-08-31,13,3,0,22,0,Norway
2019-08-31,12,1,0,6,0,Canada
2019-08-31,7,4,0,30,2,Germany
2019-09-01,5,0,0,3,0,United States
2019-09-01,10,1,0,5,0,Canada
2019-09-01,9,1,0,8,2,United Kingdom
2019-09-01,5,4,0,27,2,Germany
2019-09-01,5,2,2,18,3,Norway
2019-09-02,6,1,0,13,2,United Kingdom
2019-09-02,9,1,0,7,1,Canada
2019-09-02,5,3,0,35,2,Germany
2019-09-02,5,0,0,3,1,United States
2019-09-02,11,1,0,14,4,Norway
2019-09-03,10,0,0,6,0,Canada
2019-09-03,5,3,0,37,2,Germany
2019-09-03,7,1,0,13,2,United Kingdom
2019-09-03,12,3,3,21,3,Norway
2019-09-03,4,0,0,4,1,United States
2019-09-04,9,0,0,6,0,Canada
2019-09-04,5,3,0,41,2,Germany
2019-09-04,4,0,0,3,1,United States
2019-09-04,19,1,0,22,3,Norway
2019-09-04,8,1,0,12,1,United Kingdom
2019-09-05,7,2,0,40,2,Germany
2019-09-05,20,0,0,13,0,Norway
2019-09-05,9,0,0,6,1,Canada
2019-09-05,8,1,0,11,2,United Kingdom
2019-09-05,5,0,0,3,0,United States
2019-09-06,8,1,0,11,2,United Kingdom
2019-09-06,6,3,0,39,2,Germany
2019-09-06,23,3,3,13,3,Norway
2019-09-06,9,1,0,5,1,Canada
2019-09-06,5,0,0,3,0,United States
2019-09-07,9,0,0,5,1,Canada
2019-09-07,8,1,0,10,1,United Kingdom
2019-09-07,7,2,0,33,4,Germany
2019-09-07,8,5,0,5,5,Norway
2019-09-07,4,0,0,3,0,United States
2019-09-08,9,1,0,4,0,Canada
2019-09-08,8,5,0,7,2,Norway
2019-09-08,4,0,0,3,1,United States
2019-09-08,9,1,0,9,2,United Kingdom
2019-09-08,5,3,0,27,3,Germany
2019-09-09,6,0,0,3,1,United States
2019-09-09,20,3,1,13,3,Norway
2019-09-09,9,1,0,12,2,United Kingdom
2019-09-09,5,3,0,29,4,Germany
2019-09-09,10,0,0,5,1,Canada
2019-09-10,5,0,0,3,1,United States
2019-09-10,9,1,0,11,2,United Kingdom
2019-09-10,5,3,0,32,3,Germany
2019-09-10,12,5,0,21,1,Norway
2019-09-10,11,1,0,6,1,Canada
2019-09-11,8,1,0,10,2,United Kingdom
2019-09-11,6,0,0,3,1,United States
2019-09-11,7,2,0,31,3,Germany
2019-09-11,12,5,3,19,0,Norway
2019-09-11,11,1,0,5,1,Canada
2019-09-12,10,1,0,6,0,Canada
2019-09-12,9,1,0,12,2,United Kingdom
2019-09-12,5,0,0,3,1,United States
2019-09-12,16,3,1,9,3,Norway
2019-09-12,5,3,0,32,3,Germany
2019-09-13,6,2,0,28,2,Germany
2019-09-13,6,0,0,3,1,United States
2019-09-13,10,1,0,4,1,Canada
2019-09-13,8,1,0,9,2,United Kingdom
2019-09-13,18,1,0,6,4,Norway
2019-09-14,4,0,0,3,1,United States
2019-09-14,10,0,0,5,1,Canada
2019-09-14,12,8,0,13,3,Norway
2019-09-14,4,2,0,27,3,Germany
2019-09-14,7,1,0,8,2,United Kingdom
2019-09-15,5,2,0,16,7,Norway
2019-09-15,6,3,0,34,2,Germany
2019-09-15,4,0,0,2,1,United States
2019-09-15,8,0,0,5,1,Canada
2019-09-15,7,1,0,9,2,United Kingdom
2019-09-16,5,4,0,30,3,Germany
2019-09-16,4,0,0,3,1,United States
2019-09-16,8,1,0,10,2,United Kingdom
2019-09-16,9,1,0,5,0,Canada
2019-09-16,27,5,1,6,4,Norway
2019-09-17,10,4,0,16,1,Norway
2019-09-17,4,3,0,31,3,Germany
2019-09-17,6,1,0,10,3,United Kingdom
2019-09-17,5,0,0,3,1,United States
